name,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing Xo Erlx Euro Iii,Hyundai,2007,"80,000","45,000 Kms",Petrol
Mahindra Jeep Cl550 Mdi,Mahindra,2006,"4,25,000",40 Kms,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2018,Ask For Price,"22,000 Kms",Petrol
Hyundai Grand I10 Magna 1.2 Kappa Vtvt,Hyundai,2014,"3,25,000","28,000 Kms",Petrol
Ford Ecosport Titanium 1.5L Tdci,Ford,2014,"5,75,000","36,000 Kms",Diesel
Ford Ecosport Titanium 1.5L Tdci,Ford,2015,Ask For Price,"59,000 Kms",Diesel
Ford Figo,Ford,2012,"1,75,000","41,000 Kms",Diesel
Hyundai Eon,Hyundai,2013,"1,90,000","25,000 Kms",Petrol
Ford Ecosport Ambiente 1.5L Tdci,Ford,2016,"8,30,000","24,530 Kms",Diesel
Maruti Suzuki Alto K10 Vxi Amt,Maruti,2015,"2,50,000","60,000 Kms",Petrol
Skoda Fabia Classic 1.2 Mpi,Skoda,2010,"1,82,000","60,000 Kms",Petrol
Maruti Suzuki Stingray Vxi,Maruti,2015,"3,15,000","30,000 Kms",Petrol
Hyundai Elite I20 Magna 1.2,Hyundai,2014,"4,15,000","32,000 Kms",Petrol
Mahindra Scorpio Sle Bs Iv,Mahindra,2015,"3,20,000","48,660 Kms",Diesel
Audi A8,Audi,2017,"10,00,000","4,000 Kms",Petrol
Audi Q7,Audi,2014,"5,00,000","16,934 Kms",Diesel
Mahindra Scorpio S10,Mahindra,2016,"3,50,000","43,000 Kms",Diesel
Maruti Suzuki Alto 800,Maruti,2014,"1,60,000","35,550 Kms",Petrol
Mahindra Scorpio S10,Mahindra,2016,"3,10,000","39,522 Kms",Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,"75,000","39,000 Kms",Petrol
Hyundai I20 Sportz 1.2,Hyundai,2012,"1,00,000","55,000 Kms",Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2017,"1,90,000","72,000 Kms",Petrol
Maruti Suzuki Vitara Brezza Zdi,Maruti,2016,"2,90,000","15,975 Kms",Diesel
Maruti Suzuki Alto Lx,Maruti,2008,"95,000","70,000 Kms",Petrol
Mahindra Bolero Di,Mahindra,2017,"1,80,000","23,452 Kms",Diesel
Maruti Suzuki Swift Dzire Zdi,Maruti,2014,"3,85,000","35,522 Kms",Diesel
Mahindra Scorpio S10 4Wd,Mahindra,2015,"2,50,000","48,508 Kms",Diesel
Maruti Suzuki Swift Vdi Bsiii,Maruti,2017,"1,80,000","15,487 Kms",Petrol
Maruti Suzuki Wagon R Vxi Bs Iii,Maruti,2013,"1,05,000","39,000 Kms",Petrol
